name
Recursos naturales
Minería y Energía
Construcción
Manufactura
Comercio
Transporte y Comunicaciones
Servicios financieros y mobiliarios
Servicios profesionales y de apoyo
Servicios educativos y de salud
Hospedaje y esparcimiento
Otros servicios
