source,target
1141,1125
1141,5312
1141,7131
1125,2371
1125,3117
1151,3117
2123,4852
2361,2362
2361,5312
2361,6232
2361,5414
2361,2381
2361,4682
2361,3121
2361,2382
2361,5324
2361,4342
2361,4311
2361,3115
2362,4361
2362,5616
2362,2372
2362,5413
2362,6116
2362,4842
2362,7139
2362,3115
2362,4351
2362,4341
2362,4342
2371,5611
2371,5418
2372,3323
2372,7132
2372,3339
2372,5324
2381,4354
2381,6221
2381,2382
2381,5413
2382,3339
2382,4354
2382,5617
2382,5321
2382,5621
2382,4361
2382,5414
2382,2383
2382,3273
2382,4931
2382,5324
2382,6239
2383,6223
2383,4855
2383,6233
2383,6219
2383,5323
2389,3315
2389,3372
2389,5242
2389,3262
2389,5614
2389,4931
2389,3362
2389,3328
2389,3322
2389,3339
3111,3112
3111,3116
3112,6233
3112,4931
3112,3116
3114,3399
3115,4661
3115,3119
3115,3116
3115,4342
3115,5412
3116,4351
3116,4931
3116,6233
3117,4883
3117,6243
3118,4632
3118,8114
3118,8129
3118,5311
3118,6113
3118,5223
3118,5412
3118,3219
3118,4351
3118,7132
3118,5419
3119,6244
3119,5412
3121,6215
3121,5412
3121,4612
3121,4351
3121,4684
3121,5322
3121,4631
3121,8114
3141,3132
3141,5619
3141,3133
3219,4663
3219,4682
3219,4312
3219,8132
3219,5324
3219,7225
3219,6213
3219,4681
3219,4659
3219,8123
3219,6215
3231,3399
3231,3261
3231,6242
3231,3344
3231,3339
3231,6239
3253,3326
3253,3255
3253,3328
3253,5619
3253,3262
3256,3255
3256,6112
3256,3362
3256,5621
3256,3326
3256,3322
3271,3327
3271,3279
3273,5412
3273,8123
3273,5419
3273,4671
3273,4341
3273,8121
3273,4351
3273,8129
3273,8113
3273,7213
3273,4641
3273,6215
3274,3331
3279,7113
3279,6244
3279,3327
3323,5311
3323,4652
3323,4671
3323,8111
3323,4659
3323,8121
3323,5322
3323,8122
3323,4611
3323,4681
3323,6215
3323,4662
3323,6241
3324,4373
3324,5612
3324,4353
3324,5239
3324,3221
3324,3241
3324,4332
3324,5417
3324,6117
3324,3366
3324,3255
3324,4333
3327,4343
3327,4841
3327,6232
3331,3315
3333,3315
3333,3362
3333,4373
3333,4335
3333,3372
3339,3363
3339,3328
3339,6239
3339,4854
3339,4841
3339,4855
3339,5413
3339,3261
3339,3262
3363,4842
3363,3371
3363,3328
3363,4855
3363,5413
3363,4354
3364,3391
3364,6222
3371,3113
3371,4354
3371,3372
3391,3329
3391,7223
3391,6242
3391,3344
3399,6239
3399,4885
4311,4341
4311,4351
4311,6111
4311,4312
4311,8112
4311,5419
4311,4661
4311,4342
4311,7213
4311,7132
4311,8131
4311,4682
4311,5224
4312,5411
4312,8121
4312,4341
4312,6111
4312,8129
4312,7225
4312,4621
4312,8111
4312,4659
4321,4922
4321,3169
4331,4335
4332,5612
4332,5239
4332,4333
4334,6219
4335,5613
4335,4922
4335,4853
4335,4881
4335,4353
4335,3326
4335,4373
4335,3255
4341,4682
4341,4661
4341,6111
4341,6232
4341,5224
4341,6115
4341,4663
4341,5412
4342,4361
4342,7132
4342,6213
4342,5616
4342,8113
4342,6115
4351,8123
4351,4682
4351,5411
4351,8131
4351,4671
4351,5412
4351,4684
4351,4622
4351,4663
4351,8122
4351,6215
4351,4611
4352,4361
4352,4841
4361,4842
4361,6221
4361,4841
4361,7132
4611,4632
4611,4633
4611,4671
4611,4659
4611,4653
4611,6215
4611,7213
4611,5419
4611,8123
4611,5412
4612,7225
4612,7111
4612,7224
4612,5223
4612,6115
4612,4652
4612,8113
4612,4681
4612,4683
4612,6215
4612,4653
4621,8131
4621,7132
4621,4671
4621,8129
4621,5322
4621,6244
4621,6241
4621,5224
4621,4632
4621,4684
4622,6244
4622,4683
4622,7139
4622,7213
4622,6241
4631,4652
4631,4653
4631,3152
4631,5411
4631,6111
4631,7213
4631,8113
4631,8131
4631,4682
4632,6215
4632,6115
4632,8113
4632,5311
4632,5224
4632,5412
4633,8124
4633,4663
4633,6115
4633,5311
4633,8112
4633,5419
4633,8123
4633,5224
4641,8114
4641,8121
4641,8124
4641,7139
4641,7224
4641,4651
4641,6215
4641,6116
4651,5419
4651,7131
4651,5414
4651,6213
4651,8112
4651,6111
4651,4653
4651,4682
4651,4681
4651,5412
4651,4684
4651,8131
4651,4659
4651,7213
4651,7211
4651,7139
4652,4662
4652,8112
4652,4684
4652,8114
4652,4682
4652,4659
4652,6212
4652,6111
4652,5224
4652,7225
4653,4663
4653,8112
4653,8121
4653,8111
4653,6213
4653,8129
4659,4662
4659,8132
4659,5419
4659,6213
4659,4682
4659,7111
4659,5223
4661,6115
4661,4683
4661,8131
4661,8132
4661,5419
4661,4681
4661,4682
4662,5223
4662,7111
4662,5224
4662,5616
4663,8124
4663,5419
4663,7139
4663,8123
4663,8113
4663,6116
4663,4683
4664,8111
4664,8123
4664,6116
4664,5419
4664,5223
4664,6111
4664,5412
4664,6213
4671,7224
4671,4683
4671,6116
4671,7213
4671,8124
4671,5616
4681,6213
4681,6111
4681,5224
4681,7225
4681,5411
4681,7139
4681,5419
4681,8122
4681,8121
4682,8121
4682,5324
4682,4683
4682,8132
4682,7132
4683,8122
4683,6215
4683,5223
4683,4684
4684,8111
4684,8131
4684,5223
4684,7132
4684,8113
4684,5311
4684,5412
4684,5224
4841,4842
4841,4885
4841,4931
4841,4343
4841,6242
4842,4885
4842,8113
4851,4852
4852,2373
4852,2122
4852,7115
4854,3334
4854,4885
4854,3261
4854,4931
4855,5418
4855,5416
4884,5413
4884,8122
4884,6113
4884,5414
4884,5324
4884,6111
4885,6242
4885,3222
4885,5231
4885,3329
4921,2379
4921,3221
4921,3369
4921,5132
4921,5173
4921,5182
4921,5211
4921,5221
4921,5222
4921,5225
4921,5241
4921,5331
4921,5511
4931,3372
5121,7121
5122,2379
5122,3369
5122,5173
5122,5225
5122,5222
5122,3221
5161,5224
5162,2379
5162,5222
5223,8111
5223,5412
5223,5324
5223,6211
5223,5616
5223,7132
5223,6241
5223,5419
5223,8112
5223,8121
5224,5324
5224,8111
5224,8114
5224,7111
5224,5411
5224,8121
5231,3222
5242,5611
5242,5614
5311,8123
5311,6244
5311,6115
5311,6212
5311,8129
5311,6111
5311,5322
5311,8132
5311,8113
5311,7224
5311,6241
5312,6214
5313,5615
5313,7121
5322,6212
5322,7224
5322,6215
5322,5419
5322,7139
5323,6221
5324,8131
5324,6213
5324,7132
5324,8113
5411,6241
5411,6244
5411,7139
5412,6213
5412,8123
5412,8113
5412,5616
5412,8124
5413,5414
5413,5416
5413,4343
5414,6113
5414,3149
5415,3322
5415,3332
5415,3315
5415,3255
5415,5613
5416,5611
5416,5131
5416,5418
5418,2373
5418,7115
5418,5617
5418,5621
5418,5614
5418,5619
5419,8114
5419,7225
5419,6115
5419,5616
5419,7111
5419,8121
5419,7139
5613,3322
5613,5239
5613,3321
5613,2131
5613,3372
5613,4353
5613,3334
5614,6219
5615,7211
5615,7121
5616,6111
5616,7225
5616,8129
5616,6232
5616,8113
5617,6219
5619,7223
5621,6222
5629,3326
5629,3332
6111,6116
6111,6115
6111,7111
6111,8124
6111,8111
6111,8114
6111,6214
6111,6241
6113,6232
6113,6213
6113,7111
6113,7213
6115,6214
6115,7224
6115,7225
6116,8129
6116,7139
6116,6241
6116,8122
6116,8121
6116,7111
6116,8113
6116,6214
6116,8131
6211,8114
6211,8113
6211,7224
6211,8124
6211,7111
6212,8121
6212,6213
6212,8129
6212,7132
6212,7213
6212,8132
6213,8129
6213,7224
6213,6244
6213,8112
6213,8131
6214,6219
6214,6223
6214,3149
6215,7139
6215,8131
6215,8132
6215,8129
6215,7225
6221,7113
6221,6239
6223,6232
6231,3344
6231,6222
6241,7225
6241,7211
6241,7132
6244,8131
6244,8113
7111,8122
7111,7225
7111,8112
7111,8124
7111,7224
7113,5179
7115,6114
7131,8122
7139,7213
7139,8122
7139,7211
7139,8131
7211,7213
7213,8122
7213,8111
7224,8122
7224,8124
7224,8131
7224,8114
7225,8114
7225,8132
8111,8114
8112,8122
8121,8123
8122,8129
8122,8124
8123,8124
2131,3365
2131,4882
2373,6114
3113,3259
3131,3132
3131,3151
3131,3211
3133,2213
3133,3132
3133,3369
3149,3152
3151,3152
3151,3159
3159,2121
3212,3345
3212,4691
4832,4881
4832,7212
4853,4871
4859,6216
5417,5612
5417,4373
5417,4333
5622,3221
5622,3313
5622,3314
5622,3342
5622,6216
4889,5239
4889,1152
5192,3252
3259,3255
3259,3326
3262,3261
3262,3315
3315,3329
3315,3362
3315,7112
3315,4373
3315,3334
3315,3344
3315,3322
3315,3261
3362,6112
3362,3322
3372,3322
3372,3379
5239,3272
5239,3321
5239,3255
5239,5612
6112,3322
6112,3255
3162,3161
3251,3272
3251,3335
3252,3379
3252,3326
3252,3332
3254,3325
3254,3379
3254,4333
3255,3326
3255,3272
3255,3261
3255,3322
3261,3329
3261,3326
3272,3351
3272,4353
3321,3334
3321,3344
3321,3335
3321,3312
3321,3326
3322,3326
3322,4373
3322,3325
3322,3328
3322,3335
3322,3312
3326,3328
3326,3344
3326,3379
3328,3329
3329,3344
3334,3359
3336,3351
3344,6222
3351,3359
3361,7112
3379,4333
3379,3325
4353,3221
5612,3312
5612,3221
6222,3312
3221,3313
3241,6117
3325,4373
3325,3345
3369,3161
3369,5225
3369,5132
5173,6117
5225,6117
6117,3314
6117,3342
3342,3353
3342,3341
3342,3352
3345,3122
3345,3343
3352,3353
4871,4872
